Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF3A-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	55|57	112	56.00	2	13|9|861|877	0.00	0.00	0.00	0.00	0.00	-inf	0.06	0.55
ORF3A-A549-Nt	P50402	EMD	19|22	41	20.50	2	0|0|6|7	0.97	1.00	0.97	1.00	0.97	2.72	3.15	0.00
ORF3A-A549-Nt	P07099	EPHX1	2|14	16	8.00	2	0|0|0|0	0.99	1.00	0.99	1.00	0.99	3.54	80.00	0.00
ORF3A-A549-Nt	O15118	NPC1	3|4	7	3.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.33	35.00	0.00
ORF3A-A549-Nt	Q92887	ABCC2	3|18	21	10.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.39	105.00	0.00
ORF3A-A549-Nt	P11413	G6PD	39|51	90	45.00	2	2|0|148|145	0.00	0.00	0.00	0.00	0.00	-513.58	0.31	0.55
ORF3A-A549-Nt	P50747	HLCS	4|10	14	7.00	2	7|6|3|0	0.00	0.00	0.00	0.00	0.00	-18.03	1.08	0.32
ORF3A-A549-Nt	P23526	AHCY	2|10	12	6.00	2	3|0|30|32	0.00	0.00	0.00	0.00	0.00	-128.46	0.19	0.55
ORF3A-A549-Nt	P04083	ANXA1	24|32	56	28.00	2	0|0|84|78	0.00	0.00	0.00	0.00	0.00	-277.44	0.35	0.55
ORF3A-A549-Nt	P07237	P4HB	7|16	23	11.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.48	115.00	0.00
ORF3A-A549-Nt	P11498	PC	920|582	1502	751.00	2	926|506|838|792	0.00	0.00	0.00	0.00	0.00	-inf	0.85	0.55
ORF3A-A549-Nt	P16435	POR	8|16	24	12.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	13.63	120.00	0.00
ORF3A-A549-Nt	P46777	RPL5	11|13	24	12.00	2	3|0|21|23	0.00	0.00	0.00	0.00	0.00	-64.36	0.55	0.50
ORF3A-A549-Nt	Q02878	RPL6	11|15	26	13.00	2	4|0|16|15	0.00	0.00	0.00	0.00	0.00	-39.32	0.84	0.45
ORF3A-A549-Nt	P26373	RPL13	3|4	7	3.50	2	2|0|0|0	0.66	0.76	0.64	0.74	0.66	0.19	3.50	0.01
