bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	genes
NSP13_Ct	REAC	REAC:R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	1.2266373502801625e-30	104	141	35	7292	0.24822695035460993	0.33653846153846156	['DDOST', 'RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPN1', 'RPN2', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9', 'TRAM1']
NSP13_Ct	CORUM	CORUM:306	Ribosome, cytoplasmic	8.371788056463493e-29	77	141	29	7292	0.20567375886524822	0.37662337662337664	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	1.762632406314429e-28	90	141	32	7292	0.22695035460992907	0.35555555555555557	['EIF2S1', 'RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-192823	Viral mRNA Translation	4.885780753472033e-28	84	141	31	7292	0.2198581560283688	0.36904761904761907	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-156902	Peptide chain elongation	4.885780753472033e-28	84	141	31	7292	0.2198581560283688	0.36904761904761907	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-2408557	Selenocysteine synthesis	7.577000499244747e-28	85	141	31	7292	0.2198581560283688	0.36470588235294116	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-72764	Eukaryotic Translation Termination	1.786645272349636e-27	87	141	31	7292	0.2198581560283688	0.3563218390804598	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	2.6294054690228832e-27	106	141	33	7292	0.23404255319148937	0.3113207547169811	['EIF2S1', 'EIF4A1', 'RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-156842	Eukaryotic Translation Elongation	2.717577927811548e-27	88	141	31	7292	0.2198581560283688	0.3522727272727273	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	3.746588192471456e-27	107	141	33	7292	0.23404255319148937	0.308411214953271	['EIF2S1', 'EIF4A1', 'RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	4.10846036546725e-27	89	141	31	7292	0.2198581560283688	0.34831460674157305	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-2408522	Selenoamino acid metabolism	3.8135479002351473e-26	104	141	32	7292	0.22695035460992907	0.3076923076923077	['DARS1', 'RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-72737	Cap-dependent Translation Initiation	4.0004008985276063e-26	114	141	33	7292	0.23404255319148937	0.2894736842105263	['EIF2S1', 'EIF4A1', 'RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-72613	Eukaryotic Translation Initiation	4.0004008985276063e-26	114	141	33	7292	0.23404255319148937	0.2894736842105263	['EIF2S1', 'EIF4A1', 'RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	GO:CC	GO:0022626	cytosolic ribosome	4.355461443498071e-26	95	141	31	7292	0.2198581560283688	0.3263157894736842	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-72689	Formation of a pool of free 40S subunits	6.337554625282243e-26	96	141	31	7292	0.2198581560283688	0.3229166666666667	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	GO:BP	GO:0006613	cotranslational protein targeting to membrane	4.386198919814441e-25	92	141	30	7292	0.2127659574468085	0.32608695652173914	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9', 'TRAM1']
NSP13_Ct	GO:BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	2.041896582976892e-24	87	141	29	7292	0.20567375886524822	0.3333333333333333	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	2.0980440370513834e-24	106	141	31	7292	0.2198581560283688	0.29245283018867924	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	REAC	REAC:R-HSA-927802	Nonsense-Mediated Decay (NMD)	2.0980440370513834e-24	106	141	31	7292	0.2198581560283688	0.29245283018867924	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	CORUM	CORUM:308	60S ribosomal subunit, cytoplasmic	7.71804231066784e-23	45	141	21	7292	0.14893617021276595	0.4666666666666667	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9']
NSP13_Ct	REAC	REAC:R-HSA-168255	Influenza Infection	1.1272896923887145e-22	142	141	33	7292	0.23404255319148937	0.2323943661971831	['CLTC', 'RAN', 'RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL36AL', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS27L', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	GO:BP	GO:0045047	protein targeting to ER	2.0525510940467036e-22	100	141	29	7292	0.20567375886524822	0.29	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
NSP13_Ct	GO:BP	GO:0072599	establishment of protein localization to endoplasmic reticulum	5.350968641802472e-22	103	141	29	7292	0.20567375886524822	0.2815533980582524	['RPL12', 'RPL13', 'RPL13A', 'RPL15', 'RPL18', 'RPL18A', 'RPL21', 'RPL23', 'RPL26', 'RPL27', 'RPL27A', 'RPL28', 'RPL3', 'RPL30', 'RPL35A', 'RPL37A', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPS11', 'RPS24', 'RPS27', 'RPS3', 'RPS4X', 'RPS4Y1', 'RPS6', 'RPS9']
