bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	intersections
NSP5_C145A-Nt	GO:CC	GO:0005789	endoplasmic reticulum membrane	0.0024181740153323195	449	29	12	7327	0.41379310344827586	0.026726057906458798	['RPN2', 'COPB2', 'TRAM1', 'HACD3', 'PIGU', 'TECR', 'STT3A', 'STT3B', 'MBOAT7', 'ATP2A2', 'RAB1B', 'HM13']
NSP5_C145A-Nt	GO:CC	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.0031650529730817938	460	29	12	7327	0.41379310344827586	0.02608695652173913	['RPN2', 'COPB2', 'TRAM1', 'HACD3', 'PIGU', 'TECR', 'STT3A', 'STT3B', 'MBOAT7', 'ATP2A2', 'RAB1B', 'HM13']
NSP5_Ct	REAC	REAC:R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	9.160397652128504e-27	104	164	34	7327	0.2073170731707317	0.3269230769230769	['RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL12', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'RPS9', 'RPS11', 'RPS24', 'RPS27', 'RPL13A', 'RPN1', 'DDOST', 'TRAM1', 'RPS27L', 'RPL13', 'RPL18', 'RPL28', 'RPL36AL', 'RPS3', 'RPL15', 'RPN2', 'RPL32', 'RPS4Y1']
NSP5_Ct	CORUM	CORUM:306	Ribosome, cytoplasmic	2.6788572544915687e-25	77	164	28	7327	0.17073170731707318	0.36363636363636365	['RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL12', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'RPS9', 'RPS11', 'RPS24', 'RPS27', 'RPL13A', 'RPL13', 'RPL18', 'RPL28', 'RPS3', 'RPL15', 'RPL32', 'RPS4Y1']
NSP5_Ct	REAC	REAC:R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	4.863959445154304e-25	106	164	33	7327	0.20121951219512196	0.3113207547169811	['RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL12', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'RPS9', 'RPS11', 'RPS24', 'RPS27', 'EIF3L', 'RPL13A', 'EIF2S1', 'RPS27L', 'RPL13', 'RPL18', 'RPL28', 'RPL36AL', 'RPS3', 'RPL15', 'EIF4A1', 'RPL32', 'RPS4Y1']
NSP5_Ct	REAC	REAC:R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	6.90936818314172e-25	107	164	33	7327	0.20121951219512196	0.308411214953271	['RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL12', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'RPS9', 'RPS11', 'RPS24', 'RPS27', 'EIF3L', 'RPL13A', 'EIF2S1', 'RPS27L', 'RPL13', 'RPL18', 'RPL28', 'RPL36AL', 'RPS3', 'RPL15', 'EIF4A1', 'RPL32', 'RPS4Y1']
NSP5_Ct	REAC	REAC:R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	8.2244620085493435e-25	90	164	31	7327	0.18902439024390244	0.34444444444444444	['RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL12', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'RPS9', 'RPS11', 'RPS24', 'RPS27', 'RPL13A', 'EIF2S1', 'RPS27L', 'RPL13', 'RPL18', 'RPL28', 'RPL36AL', 'RPS3', 'RPL15', 'RPL32', 'RPS4Y1']
NSP5_Ct	REAC	REAC:R-HSA-192823	Viral mRNA Translation	2.0227531426396698e-24	84	164	30	7327	0.18292682926829268	0.35714285714285715	['RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL12', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'RPS9', 'RPS11', 'RPS24', 'RPS27', 'RPL13A', 'RPS27L', 'RPL13', 'RPL18', 'RPL28', 'RPL36AL', 'RPS3', 'RPL15', 'RPL32', 'RPS4Y1']
NSP5_Ct	REAC	REAC:R-HSA-156902	Peptide chain elongation	2.0227531426396698e-24	84	164	30	7327	0.18292682926829268	0.35714285714285715	['RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL12', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'RPS9', 'RPS11', 'RPS24', 'RPS27', 'RPL13A', 'RPS27L', 'RPL13', 'RPL18', 'RPL28', 'RPL36AL', 'RPS3', 'RPL15', 'RPL32', 'RPS4Y1']
NSP5_Ct	REAC	REAC:R-HSA-2408557	Selenocysteine synthesis	3.0701770443255653e-24	85	164	30	7327	0.18292682926829268	0.35294117647058826	['RPL9', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL12', 'RPL23', 'RPL18A', 'RPL21', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL35A', 'RPS6', 'RPS7', 'RPS9', 'RPS11', 'RPS24', 'RPS27', 'RPL13A', 'RPS27L', 'RPL13', 'RPL18', 'RPL28', 'RPL36AL', 'RPS3', 'RPL15', 'RPL32', 'RPS4Y1']
