bait	source	native	name	p_value	term_size	query_size	intersection_size	background_size	precision	recall	genes
S_Ct	GO:CC	GO:0016020	membrane	8.473683489905548e-28	3184	213	176	7292	0.8262910798122066	0.05527638190954774	['ABCC1', 'ABCC2', 'ABCC3', 'ABCC4', 'ABCG2', 'ABHD2', 'ACBD3', 'ACBD5', 'ACSL3', 'ADAM9', 'ADGRG6', 'ALDH3A2', 'ALG1', 'AMIGO2', 'ANKLE2', 'ANO6', 'AP2M1', 'ARF4', 'ATP1A1', 'ATP2A2', 'ATP2B1', 'ATP7A', 'AUP1', 'AXL', 'BASP1', 'BET1', 'CAMLG', 'CD44', 'CDKAL1', 'CEMIP2', 'CISD2', 'CKAP4', 'CLCC1', 'CLPTM1', 'COPB2', 'CXADR', 'CYB5A', 'CYP4F11', 'CYP51A1', 'DARS1', 'DCBLD2', 'DDOST', 'DDX21', 'DGKE', 'DHCR7', 'DHRS3', 'DHRS7', 'DNAJC1', 'EIF2S1', 'EPB41L4B', 'EPHA2', 'EPHX1', 'ERBB2', 'FADS2', 'FAT1', 'FKBP8', 'FNDC3A', 'FSCN1', 'GOPC', 'GORASP2', 'GOSR1', 'GPAT3', 'GPAT4', 'GPRC5C', 'GRAMD1A', 'GRAMD1B', 'HLA-A', 'HM13', 'HMOX2', 'ITGB1', 'ITGB5', 'KCNN4', 'KIAA1549', 'KIRREL1', 'LEMD3', 'LGR4', 'LRP6', 'LRRC59', 'LSG1', 'MACO1', 'MBOAT7', 'MCAM', 'MCM5', 'MET', 'MYADM', 'NDC1', 'OCLN', 'OSBPL8', 'OSMR', 'PCDH9', 'PDIA3', 'PDIA6', 'PGRMC2', 'PIGU', 'POR', 'PPIB', 'PREB', 'PSMC1', 'PTPN1', 'PTPRJ', 'RAB11A', 'RAB14', 'RAB1B', 'RAB2A', 'RAB35', 'RAC1', 'RCC2', 'RETSAT', 'RIC1', 'ROR1', 'RPL18A', 'RPL23', 'RPL35A', 'RPL36AL', 'RPN1', 'RPS24', 'RPS3', 'RPS6', 'S1PR3', 'SAR1A', 'SCAMP3', 'SCARB1', 'SCD', 'SEC22B', 'SGPL1', 'SLC12A2', 'SLC12A4', 'SLC16A1', 'SLC1A5', 'SLC26A2', 'SLC27A4', 'SLC29A1', 'SLC33A1', 'SLC35B2', 'SLC38A1', 'SLC39A10', 'SLC39A14', 'SLC4A2', 'SLC6A6', 'SLC7A11', 'SLC9A3R1', 'SLC9A3R2', 'SMPD4', 'SOAT1', 'SPINT2', 'SPTLC1', 'SRC', 'SREBF1', 'SREBF2', 'STBD1', 'STEAP3', 'STOM', 'STT3A', 'STT3B', 'STX5', 'TBC1D10A', 'TBL2', 'TEX264', 'TM9SF3', 'TM9SF4', 'TMEM131', 'TMEM201', 'TMEM33', 'TMX1', 'TOR1AIP1', 'TRIP11', 'TRPM4', 'TRPM7', 'UBXN8', 'VAPA', 'VAPB', 'VRK2', 'WWOX', 'YES1', 'YKT6', 'ZDHHC5']
S_Ct	GO:CC	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	8.79527674969599e-19	461	213	59	7292	0.27699530516431925	0.1279826464208243	['ACSL3', 'ALDH3A2', 'ALG1', 'ANKLE2', 'ATP2A2', 'AUP1', 'CDKAL1', 'CISD2', 'COPB2', 'CYP4F11', 'CYP51A1', 'DDOST', 'DHCR7', 'DHRS3', 'EPHX1', 'FADS2', 'GORASP2', 'GPAT3', 'GPAT4', 'GRAMD1A', 'GRAMD1B', 'HLA-A', 'HM13', 'HMOX2', 'MACO1', 'MBOAT7', 'PDIA3', 'PDIA6', 'PIGU', 'POR', 'PREB', 'PTPN1', 'RAB14', 'RAB1B', 'RAC1', 'RETSAT', 'RPN1', 'SCD', 'SEC22B', 'SGPL1', 'SLC27A4', 'SLC33A1', 'SLC35B2', 'SMPD4', 'SOAT1', 'SPTLC1', 'SREBF1', 'SREBF2', 'STT3A', 'STT3B', 'STX5', 'TBL2', 'TEX264', 'TMEM33', 'TMX1', 'UBXN8', 'VAPA', 'VAPB', 'VRK2']
S_Ct	GO:CC	GO:0005789	endoplasmic reticulum membrane	1.5973127410398337e-18	450	213	58	7292	0.27230046948356806	0.1288888888888889	['ACSL3', 'ALDH3A2', 'ALG1', 'ANKLE2', 'ATP2A2', 'AUP1', 'CDKAL1', 'CISD2', 'COPB2', 'CYP4F11', 'CYP51A1', 'DDOST', 'DHCR7', 'DHRS3', 'EPHX1', 'FADS2', 'GORASP2', 'GPAT3', 'GPAT4', 'GRAMD1A', 'GRAMD1B', 'HLA-A', 'HM13', 'HMOX2', 'MACO1', 'MBOAT7', 'PDIA3', 'PDIA6', 'PIGU', 'POR', 'PREB', 'PTPN1', 'RAB1B', 'RAC1', 'RETSAT', 'RPN1', 'SCD', 'SEC22B', 'SGPL1', 'SLC27A4', 'SLC33A1', 'SLC35B2', 'SMPD4', 'SOAT1', 'SPTLC1', 'SREBF1', 'SREBF2', 'STT3A', 'STT3B', 'STX5', 'TBL2', 'TEX264', 'TMEM33', 'TMX1', 'UBXN8', 'VAPA', 'VAPB', 'VRK2']
S_Ct	GO:CC	GO:0031224	intrinsic component of membrane	1.6338701591655796e-16	674	213	68	7292	0.3192488262910798	0.10089020771513353	['ABCC1', 'ABCC2', 'ADAM9', 'ADGRG6', 'AMIGO2', 'ANKLE2', 'ANO6', 'ATP1A1', 'ATP2A2', 'ATP2B1', 'AUP1', 'AXL', 'CD44', 'CEMIP2', 'CKAP4', 'CLPTM1', 'CXADR', 'DCBLD2', 'DHCR7', 'EPHA2', 'ERBB2', 'FADS2', 'FAT1', 'GPAT4', 'GPRC5C', 'GRAMD1A', 'HLA-A', 'HM13', 'ITGB1', 'ITGB5', 'KCNN4', 'LEMD3', 'LGR4', 'MET', 'OSMR', 'PCDH9', 'PDIA3', 'PGRMC2', 'PIGU', 'PREB', 'PTPRJ', 'ROR1', 'S1PR3', 'SCD', 'SGPL1', 'SLC12A2', 'SLC12A4', 'SLC16A1', 'SLC1A5', 'SLC26A2', 'SLC29A1', 'SLC33A1', 'SLC35B2', 'SLC38A1', 'SLC39A10', 'SLC39A14', 'SLC6A6', 'SLC7A11', 'SPINT2', 'SREBF2', 'STBD1', 'STOM', 'STX5', 'TBL2', 'TMEM33', 'TRPM4', 'UBXN8', 'YKT6']
S_Ct	GO:CC	GO:0016021	integral component of membrane	2.5095782881392005e-16	641	213	66	7292	0.30985915492957744	0.1029641185647426	['ABCC1', 'ABCC2', 'ADGRG6', 'AMIGO2', 'ANKLE2', 'ANO6', 'ATP1A1', 'ATP2A2', 'ATP2B1', 'AUP1', 'AXL', 'CD44', 'CEMIP2', 'CKAP4', 'CLPTM1', 'CXADR', 'DCBLD2', 'DHCR7', 'EPHA2', 'ERBB2', 'FADS2', 'FAT1', 'GPAT4', 'GPRC5C', 'HLA-A', 'HM13', 'ITGB1', 'ITGB5', 'KCNN4', 'LEMD3', 'LGR4', 'MET', 'OSMR', 'PCDH9', 'PDIA3', 'PGRMC2', 'PIGU', 'PREB', 'PTPRJ', 'ROR1', 'S1PR3', 'SCD', 'SGPL1', 'SLC12A2', 'SLC12A4', 'SLC16A1', 'SLC1A5', 'SLC26A2', 'SLC29A1', 'SLC33A1', 'SLC35B2', 'SLC38A1', 'SLC39A10', 'SLC39A14', 'SLC6A6', 'SLC7A11', 'SPINT2', 'SREBF2', 'STBD1', 'STOM', 'STX5', 'TBL2', 'TMEM33', 'TRPM4', 'UBXN8', 'YKT6']
S_Ct	GO:CC	GO:0012505	endomembrane system	4.793811949876766e-15	1926	213	118	7292	0.5539906103286385	0.0612668743509865	['ABCC4', 'ACBD3', 'ACSL3', 'ALDH3A2', 'ALG1', 'ANKLE2', 'ANO6', 'AP2M1', 'ATP1A1', 'ATP2A2', 'ATP7A', 'AUP1', 'BET1', 'C1orf43', 'CAMLG', 'CD44', 'CDKAL1', 'CISD2', 'CKAP4', 'CLCC1', 'COPB2', 'CXADR', 'CYP4F11', 'CYP51A1', 'DDOST', 'DHCR7', 'DHRS3', 'DNAJC1', 'EPHX1', 'ERBB2', 'FADS2', 'FKBP8', 'FNDC3A', 'GOPC', 'GORASP2', 'GOSR1', 'GPAT3', 'GPAT4', 'GRAMD1A', 'GRAMD1B', 'HLA-A', 'HM13', 'HMOX2', 'LEMD3', 'LRP6', 'LRRC59', 'LSG1', 'MACO1', 'MBOAT7', 'NDC1', 'PDIA3', 'PDIA4', 'PDIA6', 'PDXDC1', 'PGRMC2', 'PIGU', 'POR', 'PPIB', 'PREB', 'PTPN1', 'PTPRJ', 'RAB11A', 'RAB14', 'RAB1B', 'RAB2A', 'RAB35', 'RABL3', 'RAC1', 'RETSAT', 'RIC1', 'RPL36AL', 'RPN1', 'RPS3', 'RPS6', 'SAR1A', 'SCAMP3', 'SCD', 'SEC22B', 'SGPL1', 'SLC27A4', 'SLC33A1', 'SLC35B2', 'SLC39A14', 'SMPD4', 'SNX14', 'SOAT1', 'SPTLC1', 'SRC', 'SREBF1', 'SREBF2', 'STBD1', 'STEAP3', 'STOM', 'STT3A', 'STT3B', 'STX5', 'TBL2', 'TEX264', 'TM9SF4', 'TMEM201', 'TMEM214', 'TMEM33', 'TMX1', 'TOR1AIP1', 'TOR1AIP2', 'TOR4A', 'TRIP11', 'TRPM4', 'UBXN4', 'UBXN8', 'USP32', 'USP33', 'VAPA', 'VAPB', 'VRK2', 'WWOX', 'YES1', 'YKT6']
S_Ct	GO:CC	GO:0031226	intrinsic component of plasma membrane	1.9757096406075212e-13	314	213	43	7292	0.20187793427230047	0.13694267515923567	['ABCC1', 'ABCC2', 'ADAM9', 'ADGRG6', 'ATP1A1', 'ATP2A2', 'ATP2B1', 'AXL', 'CD44', 'CEMIP2', 'CLPTM1', 'CXADR', 'DCBLD2', 'EPHA2', 'ERBB2', 'FADS2', 'FAT1', 'GPRC5C', 'HLA-A', 'ITGB1', 'ITGB5', 'KCNN4', 'LGR4', 'MET', 'OSMR', 'PCDH9', 'PTPRJ', 'ROR1', 'S1PR3', 'SLC12A2', 'SLC12A4', 'SLC16A1', 'SLC1A5', 'SLC26A2', 'SLC29A1', 'SLC33A1', 'SLC38A1', 'SLC39A10', 'SLC39A14', 'STBD1', 'STOM', 'TRPM4', 'YKT6']
S_Ct	GO:CC	GO:0005783	endoplasmic reticulum	2.572323567949711e-13	629	213	61	7292	0.2863849765258216	0.09697933227344992	['ACSL3', 'ALG1', 'ANKLE2', 'ATP1A1', 'ATP2A2', 'AUP1', 'CAMLG', 'CDKAL1', 'CISD2', 'CKAP4', 'CLCC1', 'CYP51A1', 'DDOST', 'DHCR7', 'DNAJC1', 'FKBP8', 'GPAT3', 'GPAT4', 'HLA-A', 'HM13', 'LRRC59', 'LSG1', 'MACO1', 'PDIA3', 'PDIA4', 'PDIA6', 'PDXDC1', 'PGRMC2', 'PIGU', 'PPIB', 'PREB', 'PTPN1', 'RAB14', 'RPL36AL', 'RPN1', 'RPS3', 'RPS6', 'SAR1A', 'SCD', 'SEC22B', 'SGPL1', 'SMPD4', 'SOAT1', 'SPTLC1', 'SREBF2', 'STBD1', 'STOM', 'STT3A', 'STT3B', 'TBL2', 'TMEM214', 'TMEM33', 'TOR1AIP2', 'TOR4A', 'TRPM4', 'UBXN4', 'UBXN8', 'VAPA', 'VAPB', 'VRK2', 'YKT6']
S_Ct	GO:CC	GO:0005887	integral component of plasma membrane	3.701588187669789e-13	304	213	42	7292	0.19718309859154928	0.13815789473684212	['ABCC1', 'ABCC2', 'ADGRG6', 'ATP1A1', 'ATP2A2', 'ATP2B1', 'AXL', 'CD44', 'CEMIP2', 'CLPTM1', 'CXADR', 'DCBLD2', 'EPHA2', 'ERBB2', 'FADS2', 'FAT1', 'GPRC5C', 'HLA-A', 'ITGB1', 'ITGB5', 'KCNN4', 'LGR4', 'MET', 'OSMR', 'PCDH9', 'PTPRJ', 'ROR1', 'S1PR3', 'SLC12A2', 'SLC12A4', 'SLC16A1', 'SLC1A5', 'SLC26A2', 'SLC29A1', 'SLC33A1', 'SLC38A1', 'SLC39A10', 'SLC39A14', 'STBD1', 'STOM', 'TRPM4', 'YKT6']
S_Ct	GO:CC	GO:0005886	plasma membrane	3.538336418873302e-12	1420	213	94	7292	0.4413145539906103	0.06619718309859154	['ABCC1', 'ABCC2', 'ABCC3', 'ABCC4', 'ABCG2', 'ABHD2', 'ADAM9', 'ADGRG6', 'ANO6', 'AP2M1', 'ARF4', 'ATP1A1', 'ATP2A2', 'ATP2B1', 'ATP7A', 'AXL', 'BASP1', 'CD44', 'CEMIP2', 'CKAP4', 'CLPTM1', 'CXADR', 'CYP51A1', 'DCBLD2', 'DDOST', 'DGKE', 'DHRS3', 'EPB41L4B', 'EPHA2', 'ERBB2', 'FADS2', 'FAT1', 'FSCN1', 'GOPC', 'GPRC5C', 'GRAMD1A', 'GRAMD1B', 'HLA-A', 'HMOX2', 'ITGB1', 'ITGB5', 'KCNN4', 'KIAA1549', 'KIRREL1', 'LGR4', 'LRP6', 'MCAM', 'MET', 'MYADM', 'NDC1', 'OCLN', 'OSMR', 'PCDH9', 'PIGU', 'PTPN1', 'PTPRJ', 'RAB11A', 'RAB14', 'RAB35', 'RAC1', 'ROR1', 'RPL36AL', 'RPS3', 'S1PR3', 'SCARB1', 'SLC12A2', 'SLC12A4', 'SLC16A1', 'SLC1A5', 'SLC26A2', 'SLC27A4', 'SLC29A1', 'SLC33A1', 'SLC38A1', 'SLC39A10', 'SLC39A14', 'SLC4A2', 'SLC6A6', 'SLC7A11', 'SLC9A3R1', 'SLC9A3R2', 'SRC', 'STBD1', 'STEAP3', 'STOM', 'TBC1D10A', 'TRPM4', 'TRPM7', 'VAPA', 'VAPB', 'WWOX', 'YES1', 'YKT6', 'ZDHHC5']
