Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
NSP4-A549-Nt	BirA_R118G_H0QFJ5	BirA_R118G_H0QFJ5	410|337	747	373.50	2	13|9|861|877	0.00	0.00	0.00	0.00	0.00	-inf	0.43	0.55
NSP4-A549-Nt	ENSEMBL:ENSBTAP00000024146	ENSEMBL:ENSBTAP00000024146	4|2	6	3.00	2	0|0|0|0	0.99	1.00	0.98	1.00	0.99	3.49	30.00	0.00
NSP4-A549-Nt	Q04656	ATP7A	24|19	43	21.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	30.26	215.00	0.00
NSP4-A549-Nt	P13498	CYBA	3|2	5	2.50	2	0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.54	25.00	0.00
NSP4-A549-Nt	P09622	DLD	6|6	12	6.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.72	60.00	0.00
NSP4-A549-Nt	P50443	SLC26A2	6|5	11	5.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	8.92	55.00	0.00
NSP4-A549-Nt	P50402	EMD	66|78	144	72.00	2	0|0|6|7	1.00	1.00	1.00	1.00	1.00	57.72	11.08	0.00
NSP4-A549-Nt	P07099	EPHX1	13|14	27	13.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	21.50	135.00	0.00
NSP4-A549-Nt	P17302	GJA1	6|8	14	7.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.39	70.00	0.00
NSP4-A549-Nt	P40939	HADHA	10|10	20	10.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	16.93	100.00	0.00
NSP4-A549-Nt	P23229	ITGA6	8|7	15	7.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.02	75.00	0.00
NSP4-A549-Nt	P78504	JAG1	11|23	34	17.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	18.22	170.00	0.00
NSP4-A549-Nt	P00491	PNP	3|0	3	1.50	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.97	15.00	0.07
NSP4-A549-Nt	O15118	NPC1	9|10	19	9.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	15.14	95.00	0.00
NSP4-A549-Nt	P08237	PFKM	6|7	13	6.50	2	0|0|5|0	0.41	0.50	0.45	0.55	0.45	-0.59	2.60	0.17
NSP4-A549-Nt	Q13563	PKD2	2|4	6	3.00	2	0|0|0|0	0.99	1.00	0.99	1.00	0.99	3.76	30.00	0.00
NSP4-A549-Nt	P11413	G6PD	103|94	197	98.50	2	2|0|148|145	0.00	0.00	0.00	0.00	0.00	-390.44	0.67	0.55
NSP4-A549-Nt	P50747	HLCS	8|8	16	8.00	2	7|6|3|0	0.00	0.00	0.00	0.00	0.00	-11.92	1.23	0.34
NSP4-A549-Nt	P15260	IFNGR1	4|3	7	3.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.33	35.00	0.00
NSP4-A549-Nt	O43933	PEX1	8|0	8	4.00	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.05	40.00	0.03
NSP4-A549-Nt	P05166	PCCB	3|0	3	1.50	2	8|12|0|0	0.00	0.00	0.00	0.00	0.00	-43.51	0.15	0.55
NSP4-A549-Nt	Q03519	TAP2	4|5	9	4.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.24	45.00	0.00
NSP4-A549-Nt	P00390	GSR	6|5	11	5.50	2	0|0|4|3	0.01	0.01	0.01	0.02	0.01	-5.55	1.57	0.25
NSP4-A549-Nt	P32969	RPL9	10|9	19	9.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	17.28	95.00	0.00
NSP4-A549-Nt	P11766	ADH5	4|4	8	4.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.13	40.00	0.00
NSP4-A549-Nt	P04083	ANXA1	58|61	119	59.50	2	0|0|84|78	0.00	0.00	0.00	0.00	0.00	-204.94	0.73	0.54
NSP4-A549-Nt	P38435	GGCX	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.97	0.49	-1.05	10.00	0.11
NSP4-A549-Nt	P04035	HMGCR	3|2	5	2.50	2	0|0|0|0	0.98	1.00	0.98	1.00	0.98	3.54	25.00	0.00
NSP4-A549-Nt	P11717	IGF2R	101|102	203	101.50	2	0|0|4|2	1.00	1.00	1.00	1.00	1.00	122.52	33.83	0.00
NSP4-A549-Nt	P15559	NQO1	14|12	26	13.00	2	3|0|7|7	0.00	0.01	0.00	0.00	0.00	-8.08	1.86	0.27
NSP4-A549-Nt	P07237	P4HB	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.98	0.49	-0.43	10.00	0.11
NSP4-A549-Nt	P11498	PC	888|985	1873	936.50	2	926|506|838|792	0.00	0.00	0.00	0.00	0.00	-inf	1.06	0.55
NSP4-A549-Nt	P16435	POR	59|56	115	57.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	83.90	575.00	0.00
NSP4-A549-Nt	P23284	PPIB	4|3	7	3.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.90	35.00	0.00
NSP4-A549-Nt	P36578	RPL4	7|7	14	7.00	2	6|0|3|4	0.00	0.00	0.00	0.00	0.00	-5.59	1.40	0.30
NSP4-A549-Nt	P46777	RPL5	55|57	112	56.00	2	3|0|21|23	0.44	0.72	0.83	0.97	0.83	0.86	2.55	0.17
NSP4-A549-Nt	Q02878	RPL6	44|52	96	48.00	2	4|0|16|15	1.00	1.00	1.00	1.00	1.00	7.58	3.10	0.00
NSP4-A549-Nt	P18124	RPL7	18|10	28	14.00	2	3|0|0|0	0.98	1.00	1.00	1.00	1.00	5.23	9.33	0.00
NSP4-A549-Nt	P62424	RPL7A	17|18	35	17.50	2	3|0|0|0	1.00	1.00	1.00	1.00	1.00	7.52	11.67	0.00
NSP4-A549-Nt	P62917	RPL8	6|4	10	5.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	9.03	50.00	0.00
NSP4-A549-Nt	P62913	RPL11	4|4	8	4.00	2	3|0|0|0	0.49	0.49	0.84	0.84	0.84	1.67	2.67	0.11
NSP4-A549-Nt	P30050	RPL12	3|2	5	2.50	2	0|0|0|0	0.98	1.00	1.00	1.00	1.00	5.17	25.00	0.00
NSP4-A549-Nt	P62829	RPL23	7|8	15	7.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	13.90	75.00	0.00
NSP4-A549-Nt	Q07020	RPL18	5|6	11	5.50	2	4|0|0|0	0.50	0.60	0.54	0.64	0.54	-0.23	2.75	0.02
NSP4-A549-Nt	Q02543	RPL18A	17|14	31	15.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	24.31	155.00	0.00
NSP4-A549-Nt	P46778	RPL21	10|12	22	11.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	18.26	110.00	0.00
NSP4-A549-Nt	P83731	RPL24	2|0	2	1.00	2	3|0|3|3	0.00	0.00	0.00	0.00	0.00	-12.59	0.33	0.55
NSP4-A549-Nt	P61353	RPL27	12|11	23	11.50	2	0|0|3|2	1.00	1.00	1.00	1.00	1.00	6.27	4.60	0.00
NSP4-A549-Nt	P62888	RPL30	6|6	12	6.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	11.58	60.00	0.00
NSP4-A549-Nt	P46776	RPL27A	9|7	16	8.00	2	2|0|2|0	0.93	0.99	0.98	1.00	0.98	3.13	4.00	0.00
NSP4-A549-Nt	P47914	RPL29	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.97	0.49	-1.05	10.00	0.11
NSP4-A549-Nt	P62910	RPL32	3|0	3	1.50	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.18	15.00	0.07
NSP4-A549-Nt	P49207	RPL34	5|5	10	5.00	2	5|0|3|0	0.00	0.00	0.00	0.00	0.00	-6.48	1.25	0.29
NSP4-A549-Nt	P18077	RPL35A	9|7	16	8.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.84	80.00	0.00
NSP4-A549-Nt	P61513	RPL37A	2|2	4	2.00	2	0|0|0|0	0.97	0.97	0.99	0.99	0.99	4.63	20.00	0.00
